timestamp,length,protocol,src,dst
2025-07-11 13:38:49.504531,54,TCP,140.82.112.21,192.168.51.91
2025-07-11 13:38:49.764951,642,TLS,140.82.112.21,192.168.51.91
2025-07-11 13:38:49.764951,78,TLS,140.82.112.21,192.168.51.91
2025-07-11 13:38:49.765035,54,TCP,192.168.51.91,140.82.112.21
2025-07-11 13:38:49.765106,54,TCP,140.82.112.21,192.168.51.91
2025-07-11 13:38:49.765124,54,TCP,192.168.51.91,140.82.112.21
2025-07-11 13:38:49.765361,78,TLS,192.168.51.91,140.82.112.21
2025-07-11 13:38:49.765505,54,TCP,192.168.51.91,140.82.112.21
2025-07-11 13:38:49.799845,54,TCP,140.82.112.21,192.168.51.91
2025-07-11 13:38:50.248979,55,TLS,192.168.51.91,35.186.224.24
2025-07-11 13:38:50.269496,66,TCP,35.186.224.24,192.168.51.91
2025-07-11 13:38:51.357054,55,TLS,192.168.51.91,23.215.0.236
2025-07-11 13:38:51.394302,66,TCP,23.215.0.236,192.168.51.91
2025-07-11 13:38:52.055151,1474,TLS,192.168.51.91,20.135.6.2
2025-07-11 13:38:52.055151,1408,TLS,192.168.51.91,20.135.6.2
2025-07-11 13:38:52.159287,54,TCP,20.135.6.2,192.168.51.91
2025-07-11 13:38:52.268480,853,TLS,20.135.6.2,192.168.51.91
2025-07-11 13:38:52.288750,105,DNS,192.168.51.91,192.168.51.1
2025-07-11 13:38:52.309893,54,TCP,192.168.51.91,20.135.6.2
2025-07-11 13:38:52.313233,177,DNS,192.168.51.1,192.168.51.91
2025-07-11 13:38:52.314056,66,TCP,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.366532,66,TCP,20.60.236.129,192.168.51.91
2025-07-11 13:38:52.366629,54,TCP,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.370274,531,TLS,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.424690,1514,TLS,20.60.236.129,192.168.51.91
2025-07-11 13:38:52.424690,1514,TCP,20.60.236.129,192.168.51.91
2025-07-11 13:38:52.424690,1514,TCP,20.60.236.129,192.168.51.91
2025-07-11 13:38:52.424690,1514,TCP,20.60.236.129,192.168.51.91
2025-07-11 13:38:52.424690,1514,TCP,20.60.236.129,192.168.51.91
2025-07-11 13:38:52.424810,54,TCP,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.424900,368,TLS,20.60.236.129,192.168.51.91
2025-07-11 13:38:52.424926,54,TCP,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.439000,134,TLS,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.439244,787,TLS,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.439437,1494,TLS,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.439437,1494,TCP,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.439437,1494,TCP,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.439437,1494,TCP,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.439437,1494,TCP,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.439437,1494,TCP,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.439437,1494,TCP,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.439437,1494,TCP,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.439437,1494,TCP,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.487846,54,TCP,20.60.236.129,192.168.51.91
2025-07-11 13:38:52.487846,157,TLS,20.60.236.129,192.168.51.91
2025-07-11 13:38:52.487967,1494,TCP,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.487967,1494,TLS,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.487967,1494,TCP,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.489872,54,TCP,20.60.236.129,192.168.51.91
2025-07-11 13:38:52.489902,1494,TCP,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.489902,1494,TCP,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.489902,1494,TCP,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.489902,1494,TCP,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.490551,54,TCP,20.60.236.129,192.168.51.91
2025-07-11 13:38:52.490575,1494,TCP,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.490575,1494,TCP,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.490575,1494,TCP,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.490575,1494,TCP,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.494988,54,TCP,20.60.236.129,192.168.51.91
2025-07-11 13:38:52.495019,1494,TCP,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.495019,1494,TLS,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.495019,1494,TLS,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.495019,1494,TCP,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.495782,54,TCP,20.60.236.129,192.168.51.91
2025-07-11 13:38:52.495812,1494,TCP,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.495812,1494,TCP,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.495812,1494,TCP,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.495812,1494,TCP,192.168.51.91,20.60.236.129
2025-07-11 13:38:52.533932,54,TCP,20.60.236.129,192.168.51.91
